Store ID,Store,Region,Order ID,Reference Order ID,Invoice Number,Product ID,Order Sub ID,Date,Order Time,Product,Size,Category,Brand,Sub Category,Income Head,Barcode,SKU,Batch Variant ID,Batch Variant Name,HSN / SAC Code,Quantity Ordered,Unit,Base Price ,Net Sale ,Taxes ,Amount,Void Amount ,MRP ,Cost Price per Unit,Cost Of Goods Sold,Void Quantity,Void Date,Void Time,User,Billing User,Manufacturer ID,Manufacturer,Discount Total Value,Discount Remarks,Discount IDs,Discount Names,Coupon Code,Total Charge Value,Payment Mode,Color,School Name
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-1,,1,2108,1,01-Jun-25,9:53 AM,ASPR_BLK_UK1,1UK,Footwear,Plaeto,,,,ASPR_BLK_UK1,-1,,640419,1,Piece,888.98,888.98,160.02,1049,,1599,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,Cash,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527520250601-1,,1,2112,1,01-Jun-25,9:54 AM,ASPR_BLK_UK5,5UK,Footwear,Plaeto,,,,ASPR_BLK_UK5,-1,,640419,1,Piece,931.36,931.36,167.64,1099,,1699,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,UPI,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-2,,2,2109,1,01-Jun-25,9:55 AM,ASPR_BLK_UK2,2UK,Footwear,Plaeto,,,,ASPR_BLK_UK2,-1,,640419,1,Piece,888.98,888.98,160.02,1049,,1599,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,UPI,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527520250601-2,,2,2114,1,01-Jun-25,9:57 AM,ASPR_BLK_UK7,7UK,Footwear,Plaeto,,,,ASPR_BLK_UK7,-1,,640419,1,Piece,931.36,931.36,167.64,1099,,1699,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,Cash,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-3,,3,2109,1,01-Jun-25,9:58 AM,ASPR_BLK_UK2,2UK,Footwear,Plaeto,,,,ASPR_BLK_UK2,-1,,640419,1,Piece,888.98,888.98,160.02,1049,,1599,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,UPI,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527520250601-3,,3,2113,1,01-Jun-25,10:00 AM,ASPR_BLK_UK6,6UK,Footwear,Plaeto,,,,ASPR_BLK_UK6,-1,,640419,1,Piece,931.36,931.36,167.64,1099,,1699,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,UPI,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-4,,4,2111,1,01-Jun-25,10:07 AM,ASPR_BLK_UK4,4UK,Footwear,Plaeto,,,,ASPR_BLK_UK4,-1,,640419,1,Piece,888.98,888.98,160.02,1049,,1599,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,Cash,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-5,,5,2115,1,01-Jun-25,10:08 AM,ASPR_BLK_UK8,8UK,Footwear,Plaeto,,,,ASPR_BLK_UK8,-1,,640419,1,Piece,931.36,931.36,167.64,1099,,1699,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,Cash,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527520250601-4,,4,2110,1,01-Jun-25,10:15 AM,ASPR_BLK_UK3,3UK,Footwear,Plaeto,,,,ASPR_BLK_UK3,-1,,640419,1,Piece,888.98,888.98,160.02,1049,,1599,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,Cash,Black,
89246,Poorna Pragna Sadashiv Nagar,,OR11527420250601-6,,6,2112,1,01-Jun-25,10:16 AM,ASPR_BLK_UK5,5UK,Footwear,Plaeto,,,,ASPR_BLK_UK5,-1,,640419,1,Piece,931.36,931.36,167.64,1099,,1699,0,0,0,,,Poorna_SDSN,Poorna_SDSN,-1,,0,,,,,0,UPI,Black,
